,id,sigungu,jibun,apt_name,exclusive_use_area,transaction_year_month,transaction_day,transaction_real_price,floor,year_of_completion,train_test,transaction_date,소비심리지수,아파트 매매 실거래 가격 지수,기준금리,GDP 성장률,apartment_id,recent_price,recent_jeonse,transaction_cnt,age,cluster
15,TRAIN_0430,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201401,07,105000.0,6,1983,train,2014-01-07,112.6,66.6,2.5,0.9,32,89900.0,49445.00000000001,14.0,31,3.0
16,TRAIN_0111,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201401,07,98000.0,9,2000,train,2014-01-07,112.6,66.6,2.5,0.9,9,100000.0,55000.00000000001,19.0,14,1.0
17,TRAIN_0431,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201401,08,114000.0,5,1983,train,2014-01-08,112.6,66.6,2.5,0.9,32,105000.0,57750.00000000001,14.0,31,3.0
18,TRAIN_0176,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,08,81000.0,12,2008,train,2014-01-08,112.6,66.6,2.5,0.9,10,80000.0,44000.0,24.0,6,2.0
19,TRAIN_0422,서울특별시 강남구 대치동,938-16,삼환SOGOOD,84.93,201401,08,68500.0,6,2006,train,2014-01-08,112.6,66.6,2.5,0.9,30,105000.0,57750.00000000001,2.0,8,1.0
20,TRAIN_0530,서울특별시 강남구 대치동,316,은마,76.79,201401,08,77500.0,8,1979,train,2014-01-08,112.6,66.6,2.5,0.9,46,77500.0,35000.0,60.0,35,2.0
21,TRAIN_0531,서울특별시 강남구 대치동,316,은마,84.43,201401,09,90000.0,5,1979,train,2014-01-09,112.6,66.6,2.5,0.9,46,89000.0,37000.0,60.0,35,2.0
22,TRAIN_0112,서울특별시 강남구 대치동,1014-3,대치삼성,109.04,201401,09,95000.0,1,2000,train,2014-01-09,112.6,66.6,2.5,0.9,9,95000.0,88000.0,19.0,14,1.0
23,TRAIN_0532,서울특별시 강남구 대치동,316,은마,76.79,201401,09,74800.0,1,1979,train,2014-01-09,112.6,66.6,2.5,0.9,46,77500.0,40500.0,60.0,35,2.0
24,TRAIN_0044,서울특별시 강남구 대치동,500,개포우성2,159.6,201401,09,188500.0,5,1984,train,2014-01-09,112.6,66.6,2.5,0.9,1,174000.0,95700.00000000001,6.0,30,3.0
25,TRAIN_0001,서울특별시 강남구 대치동,503,개포우성1,127.61,201401,09,157500.0,6,1983,train,2014-01-09,112.6,66.6,2.5,0.9,0,157500.0,87000.0,18.0,31,3.0
26,TRAIN_0264,서울특별시 강남구 대치동,974,대치현대,59.82,201401,09,50000.0,22,1999,train,2014-01-09,112.6,66.6,2.5,0.9,16,81000.0,44550.0,19.0,15,1.0
27,TRAIN_0533,서울특별시 강남구 대치동,316,은마,76.79,201401,10,77300.0,2,1979,train,2014-01-10,112.6,66.6,2.5,0.9,46,74800.0,32000.0,60.0,35,2.0
28,TRAIN_0534,서울특별시 강남구 대치동,316,은마,76.79,201401,10,80000.0,6,1979,train,2014-01-10,112.6,66.6,2.5,0.9,46,74800.0,32000.0,60.0,35,2.0
29,TRAIN_0045,서울특별시 강남구 대치동,500,개포우성2,127.78,201401,10,178000.0,8,1984,train,2014-01-10,112.6,66.6,2.5,0.9,1,157500.0,86625.0,6.0,30,3.0
30,TRAIN_0177,서울특별시 강남구 대치동,888,대치아이파크,114.97,201401,10,147700.0,23,2008,train,2014-01-10,112.6,66.6,2.5,0.9,10,132000.0,72600.0,24.0,6,2.0
31,TRAIN_0535,서울특별시 강남구 대치동,316,은마,76.79,201401,11,79500.0,14,1979,train,2014-01-11,112.6,66.6,2.5,0.9,46,80000.0,32000.0,60.0,35,2.0
32,TRAIN_0536,서울특별시 강남구 대치동,316,은마,84.43,201401,11,94500.0,5,1979,train,2014-01-11,112.6,66.6,2.5,0.9,46,90000.0,42000.0,60.0,35,2.0
33,TRAIN_0178,서울특별시 강남구 대치동,888,대치아이파크,114.97,201401,11,143500.0,17,2008,train,2014-01-11,112.6,66.6,2.5,0.9,10,147700.0,81235.0,24.0,6,2.0
34,TRAIN_0661,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),35.51,201401,11,29300.0,19,2004,train,2014-01-11,112.6,66.6,2.5,0.9,49,27000.0,14850.000000000002,6.0,10,0.0
35,TRAIN_0113,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201401,11,102500.0,14,2000,train,2014-01-11,112.6,66.6,2.5,0.9,9,98000.0,53900.00000000001,19.0,14,1.0
36,TRAIN_0266,서울특별시 강남구 대치동,974,대치현대,59.82,201401,11,59000.0,5,1999,train,2014-01-11,112.6,66.6,2.5,0.9,16,50000.0,27500.000000000004,19.0,15,1.0
37,TRAIN_0707,서울특별시 강남구 대치동,511,한보미도맨션1,161.36,201401,11,165000.0,11,1983,train,2014-01-11,112.6,66.6,2.5,0.9,60,155000.0,85250.0,24.0,31,3.0
38,TRAIN_0745,서울특별시 강남구 대치동,511,한보미도맨션2,84.96,201401,11,92000.0,3,1985,train,2014-01-11,112.6,66.6,2.5,0.9,61,89900.0,58000.0,13.0,29,3.0
39,TRAIN_0706,서울특별시 강남구 대치동,511,한보미도맨션1,191.07,201401,11,205000.0,8,1983,train,2014-01-11,112.6,66.6,2.5,0.9,60,190000.0,104500.00000000001,24.0,31,3.0
40,TRAIN_0265,서울특별시 강남구 대치동,974,대치현대,59.82,201401,11,55000.0,21,1999,train,2014-01-11,112.6,66.6,2.5,0.9,16,50000.0,27500.000000000004,19.0,15,1.0
41,TRAIN_0179,서울특별시 강남구 대치동,888,대치아이파크,114.97,201401,12,147000.0,16,2008,train,2014-01-12,112.6,66.6,2.5,0.9,10,143500.0,78925.0,24.0,6,2.0
42,TRAIN_0537,서울특별시 강남구 대치동,316,은마,76.79,201401,12,82000.0,8,1979,train,2014-01-12,112.6,66.6,2.5,0.9,46,79500.0,33000.0,60.0,35,2.0
43,TRAIN_0538,서울특별시 강남구 대치동,316,은마,76.79,201401,13,83000.0,11,1979,train,2014-01-13,112.6,66.6,2.5,0.9,46,82000.0,33000.0,60.0,35,2.0
44,TRAIN_0432,서울특별시 강남구 대치동,506,선경1차(1동-7동),117.7,201401,13,132500.0,7,1983,train,2014-01-13,112.6,66.6,2.5,0.9,32,132000.0,72600.0,14.0,31,3.0
45,TRAIN_0539,서울특별시 강남구 대치동,316,은마,76.79,201401,13,80000.0,5,1979,train,2014-01-13,112.6,66.6,2.5,0.9,46,82000.0,33000.0,60.0,35,2.0
46,TRAIN_0046,서울특별시 강남구 대치동,500,개포우성2,84.69,201401,14,114000.0,15,1984,train,2014-01-14,112.6,66.6,2.5,0.9,1,92000.0,66000.0,6.0,30,3.0
47,TRAIN_0541,서울특별시 강남구 대치동,316,은마,84.43,201401,14,88000.0,1,1979,train,2014-01-14,112.6,66.6,2.5,0.9,46,94500.0,42000.0,60.0,35,2.0
48,TRAIN_0540,서울특별시 강남구 대치동,316,은마,76.79,201401,14,81000.0,7,1979,train,2014-01-14,112.6,66.6,2.5,0.9,46,80000.0,35000.0,60.0,35,2.0
49,TRAIN_0082,서울특별시 강남구 대치동,891-26,대우아이빌멤버스(891-26),35.796,201401,14,25000.0,9,2003,train,2014-01-14,112.6,66.6,2.5,0.9,3,29300.0,16115.000000000002,4.0,11,0.0
50,TRAIN_0267,서울특별시 강남구 대치동,974,대치현대,59.82,201401,14,55000.0,6,1999,train,2014-01-14,112.6,66.6,2.5,0.9,16,55000.0,42000.0,19.0,15,1.0
51,TRAIN_0708,서울특별시 강남구 대치동,511,한보미도맨션1,128.01,201401,15,135000.0,10,1983,train,2014-01-15,112.6,66.6,2.5,0.9,60,178000.0,40000.0,24.0,31,3.0
52,TRAIN_0678,서울특별시 강남구 대치동,902,포스코더샵,139.54,201401,15,124500.0,9,2004,train,2014-01-15,112.6,66.6,2.5,0.9,50,124500.0,89000.0,1.0,10,2.0
53,TRAIN_0710,서울특별시 강남구 대치동,511,한보미도맨션1,128.01,201401,15,138000.0,6,1983,train,2014-01-15,112.6,66.6,2.5,0.9,60,178000.0,40000.0,24.0,31,3.0
54,TRAIN_0709,서울특별시 강남구 대치동,511,한보미도맨션1,191.07,201401,15,220000.0,9,1983,train,2014-01-15,112.6,66.6,2.5,0.9,60,205000.0,112750.00000000001,24.0,31,3.0
55,TRAIN_0180,서울특별시 강남구 대치동,888,대치아이파크,84.95,201401,15,105000.0,19,2008,train,2014-01-15,112.6,66.6,2.5,0.9,10,88000.0,50000.0,24.0,6,2.0
56,TRAIN_0114,서울특별시 강남구 대치동,1014-3,대치삼성,59.88,201401,16,64700.0,5,2000,train,2014-01-16,112.6,66.6,2.5,0.9,9,55000.0,30250.000000000004,19.0,14,1.0
57,TRAIN_0087,서울특별시 강남구 대치동,891-23,대우아이빌명문가(891-23),33.06,201401,16,24500.0,8,2004,train,2014-01-16,112.6,66.6,2.5,0.9,4,25000.0,13750.000000000002,4.0,10,0.0
58,TRAIN_0512,서울특별시 강남구 대치동,66,"쌍용대치아파트1동,2동,3동,5동,6동",128.03,201401,17,120500.0,12,1983,train,2014-01-17,112.6,66.6,2.5,0.9,42,138000.0,62000.0,4.0,31,2.0
59,TRAIN_0746,서울특별시 강남구 대치동,511,한보미도맨션2,126.33,201401,17,135000.0,3,1985,train,2014-01-17,112.6,66.6,2.5,0.9,61,138000.0,75900.0,13.0,29,3.0
60,TRAIN_0542,서울특별시 강남구 대치동,316,은마,76.79,201401,17,75500.0,5,1979,train,2014-01-17,112.6,66.6,2.5,0.9,46,81000.0,31000.0,60.0,35,2.0
61,TRAIN_0115,서울특별시 강남구 대치동,1014-3,대치삼성,59.88,201401,18,61000.0,17,2000,train,2014-01-18,112.6,66.6,2.5,0.9,9,64700.0,35585.0,19.0,14,1.0
62,TRAIN_0690,서울특별시 강남구 대치동,1007-2,풍림아이원4차(1007-2),111.54,201401,18,77000.0,2,2004,train,2014-01-18,112.6,66.6,2.5,0.9,56,147000.0,80850.0,1.0,10,1.0
63,TRAIN_0712,서울특별시 강남구 대치동,511,한보미도맨션1,84.48,201401,18,100400.0,9,1983,train,2014-01-18,112.6,66.6,2.5,0.9,60,105000.0,54000.0,24.0,31,3.0
64,TRAIN_0322,서울특별시 강남구 대치동,670,동부센트레빌,145.83,201401,18,180000.0,23,2005,train,2014-01-18,112.6,66.6,2.5,0.9,20,180000.0,130000.0,25.0,9,3.0
65,TRAIN_0711,서울특별시 강남구 대치동,511,한보미도맨션1,128.01,201401,18,120000.0,1,1983,train,2014-01-18,112.6,66.6,2.5,0.9,60,138000.0,40000.0,24.0,31,3.0
66,TRAIN_0002,서울특별시 강남구 대치동,503,개포우성1,127.61,201401,19,150000.0,5,1983,train,2014-01-19,112.6,66.6,2.5,0.9,0,157500.0,87000.0,18.0,31,3.0
67,TRAIN_0323,서울특별시 강남구 대치동,670,동부센트레빌,145.83,201401,19,181000.0,11,2005,train,2014-01-19,112.6,66.6,2.5,0.9,20,180000.0,130000.0,25.0,9,3.0
68,TRAIN_0543,서울특별시 강남구 대치동,316,은마,76.79,201401,20,79000.0,3,1979,train,2014-01-20,112.6,66.6,2.5,0.9,46,75500.0,35000.0,60.0,35,2.0
69,TRAIN_0544,서울특별시 강남구 대치동,316,은마,76.79,201401,20,81000.0,4,1979,train,2014-01-20,112.6,66.6,2.5,0.9,46,75500.0,35000.0,60.0,35,2.0
70,TRAIN_0433,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201401,20,110000.0,12,1983,train,2014-01-20,112.6,66.6,2.5,0.9,32,114000.0,62700.00000000001,14.0,31,3.0
71,TRAIN_0545,서울특별시 강남구 대치동,316,은마,76.79,201401,21,80000.0,13,1979,train,2014-01-21,112.6,66.6,2.5,0.9,46,81000.0,35000.0,60.0,35,2.0
72,TRAIN_0454,서울특별시 강남구 대치동,506,선경2차(8동-12동),84.55,201401,21,96000.0,1,1985,train,2014-01-21,112.6,66.6,2.5,0.9,33,110000.0,60500.00000000001,4.0,29,3.0
73,TRAIN_0324,서울특별시 강남구 대치동,670,동부센트레빌,145.83,201401,21,189500.0,24,2005,train,2014-01-21,112.6,66.6,2.5,0.9,20,181000.0,130000.0,25.0,9,3.0
74,TRAIN_0268,서울특별시 강남구 대치동,974,대치현대,85.0,201401,21,80000.0,24,1999,train,2014-01-21,112.6,66.6,2.5,0.9,16,110000.0,59000.0,19.0,15,1.0
75,TRAIN_0455,서울특별시 강남구 대치동,506,선경2차(8동-12동),127.75,201401,22,155000.0,6,1985,train,2014-01-22,112.6,66.6,2.5,0.9,33,150000.0,82500.0,4.0,29,3.0
76,TRAIN_0546,서울특별시 강남구 대치동,316,은마,76.79,201401,22,80500.0,2,1979,train,2014-01-22,112.6,66.6,2.5,0.9,46,80000.0,36500.0,60.0,35,2.0
77,TRAIN_0547,서울특별시 강남구 대치동,316,은마,76.79,201401,22,79000.0,4,1979,train,2014-01-22,112.6,66.6,2.5,0.9,46,80000.0,36500.0,60.0,35,2.0
78,TRAIN_0548,서울특별시 강남구 대치동,316,은마,76.79,201401,22,82000.0,4,1979,train,2014-01-22,112.6,66.6,2.5,0.9,46,80000.0,36500.0,60.0,35,2.0
79,TRAIN_0403,서울특별시 강남구 대치동,1025,롯데캐슬리베,121.0894,201401,22,119000.0,8,2008,train,2014-01-22,112.6,66.6,2.5,0.9,25,132500.0,92000.0,5.0,6,2.0
80,TRAIN_0181,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,22,75500.0,2,2008,train,2014-01-22,112.6,66.6,2.5,0.9,10,81000.0,44550.0,24.0,6,2.0
81,TRAIN_0549,서울특별시 강남구 대치동,316,은마,76.79,201401,23,81500.0,12,1979,train,2014-01-23,112.6,66.6,2.5,0.9,46,82000.0,33000.0,60.0,35,2.0
82,TRAIN_0182,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,23,82000.0,11,2008,train,2014-01-23,112.6,66.6,2.5,0.9,10,75500.0,41525.0,24.0,6,2.0
83,TRAIN_0116,서울특별시 강남구 대치동,1014-3,대치삼성,84.58,201401,23,89500.0,10,2000,train,2014-01-23,112.6,66.6,2.5,0.9,9,80000.0,69000.0,19.0,14,1.0
84,TRAIN_0325,서울특별시 강남구 대치동,670,동부센트레빌,145.83,201401,24,185000.0,25,2005,train,2014-01-24,112.6,66.6,2.5,0.9,20,189500.0,130000.0,25.0,9,3.0
85,TRAIN_0550,서울특별시 강남구 대치동,316,은마,76.79,201401,24,80000.0,3,1979,train,2014-01-24,112.6,66.6,2.5,0.9,46,81500.0,36000.0,60.0,35,2.0
86,TRAIN_0183,서울특별시 강남구 대치동,888,대치아이파크,84.95,201401,24,107500.0,22,2008,train,2014-01-24,112.6,66.6,2.5,0.9,10,105000.0,50000.0,24.0,6,2.0
87,TRAIN_0047,서울특별시 강남구 대치동,500,개포우성2,127.78,201401,24,187000.0,14,1984,train,2014-01-24,112.6,66.6,2.5,0.9,1,178000.0,80000.0,6.0,30,3.0
88,TRAIN_0117,서울특별시 강남구 대치동,1014-3,대치삼성,109.04,201401,24,89000.0,1,2000,train,2014-01-24,112.6,66.6,2.5,0.9,9,95000.0,90000.0,19.0,14,1.0
89,TRAIN_0184,서울특별시 강남구 대치동,888,대치아이파크,84.95,201401,25,107000.0,5,2008,train,2014-01-25,112.6,66.6,2.5,0.9,10,107500.0,50000.0,24.0,6,2.0
90,TRAIN_0185,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,25,76800.0,10,2008,train,2014-01-25,112.6,66.6,2.5,0.9,10,82000.0,45100.00000000001,24.0,6,2.0
91,TRAIN_0551,서울특별시 강남구 대치동,316,은마,76.79,201401,26,85000.0,12,1979,train,2014-01-26,112.6,66.6,2.5,0.9,46,80000.0,36000.0,60.0,35,2.0
92,TRAIN_0083,서울특별시 강남구 대치동,891-26,대우아이빌멤버스(891-26),35.236,201401,27,24000.0,7,2003,train,2014-01-27,112.6,66.6,2.5,0.9,3,25000.0,13750.000000000002,4.0,11,0.0
93,TRAIN_0479,서울특별시 강남구 대치동,890-54,선릉역풍림아이원레몬,69.81,201401,27,40500.0,6,2006,train,2014-01-27,112.6,66.6,2.5,0.9,36,40500.0,22275.0,1.0,8,0.0
94,TRAIN_0244,서울특별시 강남구 대치동,63,"대치우성아파트1동,2동,3동,5동,6동,7동",84.69,201401,27,85000.0,5,1984,train,2014-01-27,112.6,66.6,2.5,0.9,11,107000.0,48000.0,7.0,30,2.0
95,TRAIN_0048,서울특별시 강남구 대치동,500,개포우성2,127.78,201401,27,155000.0,8,1984,train,2014-01-27,112.6,66.6,2.5,0.9,1,187000.0,80000.0,6.0,30,3.0
96,TRAIN_0326,서울특별시 강남구 대치동,670,동부센트레빌,121.74,201401,28,173000.0,22,2005,train,2014-01-28,112.6,66.6,2.5,0.9,20,119000.0,100000.0,25.0,9,3.0
97,TRAIN_0269,서울특별시 강남구 대치동,974,대치현대,59.82,201402,04,54000.0,13,1999,train,2014-02-04,128.8,66.8,2.5,0.9,16,55000.0,42000.0,19.0,15,1.0
98,TRAIN_0269,서울특별시 강남구 대치동,974,대치현대,59.82,201402,04,54000.0,13,1999,train,2014-02-04,129.5,66.8,2.5,0.9,16,55000.0,42000.0,19.0,15,1.0
99,TRAIN_0118,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201402,04,102700.0,13,2000,train,2014-02-04,129.5,66.8,2.5,0.9,9,102500.0,73500.0,19.0,14,1.0
100,TRAIN_0118,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201402,04,102700.0,13,2000,train,2014-02-04,128.8,66.8,2.5,0.9,9,102500.0,73500.0,19.0,14,1.0
101,TRAIN_0434,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201402,04,109500.0,10,1983,train,2014-02-04,128.8,66.8,2.5,0.9,32,110000.0,60500.00000000001,14.0,31,3.0
102,TRAIN_0434,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201402,04,109500.0,10,1983,train,2014-02-04,129.5,66.8,2.5,0.9,32,110000.0,60500.00000000001,14.0,31,3.0
103,TRAIN_0552,서울특별시 강남구 대치동,316,은마,76.79,201402,04,83000.0,3,1979,train,2014-02-04,128.8,66.8,2.5,0.9,46,85000.0,37000.0,60.0,35,2.0
104,TRAIN_0552,서울특별시 강남구 대치동,316,은마,76.79,201402,04,83000.0,3,1979,train,2014-02-04,129.5,66.8,2.5,0.9,46,85000.0,37000.0,60.0,35,2.0
105,TRAIN_0553,서울특별시 강남구 대치동,316,은마,84.43,201402,04,95000.0,9,1979,train,2014-02-04,128.8,66.8,2.5,0.9,46,88000.0,38000.0,60.0,35,2.0
106,TRAIN_0553,서울특별시 강남구 대치동,316,은마,84.43,201402,04,95000.0,9,1979,train,2014-02-04,129.5,66.8,2.5,0.9,46,88000.0,38000.0,60.0,35,2.0
107,TRAIN_0554,서울특별시 강남구 대치동,316,은마,76.79,201402,05,83000.0,10,1979,train,2014-02-05,129.5,66.8,2.5,0.9,46,83000.0,29000.0,60.0,35,2.0
108,TRAIN_0714,서울특별시 강남구 대치동,511,한보미도맨션1,128.01,201402,05,146500.0,8,1983,train,2014-02-05,129.5,66.8,2.5,0.9,60,120000.0,80000.0,24.0,31,3.0
109,TRAIN_0119,서울특별시 강남구 대치동,1014-3,대치삼성,59.88,201402,05,64000.0,11,2000,train,2014-02-05,129.5,66.8,2.5,0.9,9,61000.0,43000.0,19.0,14,1.0
110,TRAIN_0119,서울특별시 강남구 대치동,1014-3,대치삼성,59.88,201402,05,64000.0,11,2000,train,2014-02-05,128.8,66.8,2.5,0.9,9,61000.0,43000.0,19.0,14,1.0
111,TRAIN_0714,서울특별시 강남구 대치동,511,한보미도맨션1,128.01,201402,05,146500.0,8,1983,train,2014-02-05,128.8,66.8,2.5,0.9,60,120000.0,80000.0,24.0,31,3.0
112,TRAIN_0554,서울특별시 강남구 대치동,316,은마,76.79,201402,05,83000.0,10,1979,train,2014-02-05,128.8,66.8,2.5,0.9,46,83000.0,29000.0,60.0,35,2.0
113,TRAIN_0713,서울특별시 강남구 대치동,511,한보미도맨션1,84.48,201402,05,103000.0,10,1983,train,2014-02-05,129.5,66.8,2.5,0.9,60,100400.0,54000.0,24.0,31,3.0
114,TRAIN_0713,서울특별시 강남구 대치동,511,한보미도맨션1,84.48,201402,05,103000.0,10,1983,train,2014-02-05,128.8,66.8,2.5,0.9,60,100400.0,54000.0,24.0,31,3.0
115,TRAIN_0270,서울특별시 강남구 대치동,974,대치현대,85.0,201402,06,84000.0,8,1999,train,2014-02-06,129.5,66.8,2.5,0.9,16,80000.0,60000.0,19.0,15,1.0
116,TRAIN_0503,서울특별시 강남구 대치동,65,쌍용대치2,84.49,201402,06,90000.0,14,1983,train,2014-02-06,128.8,66.8,2.5,0.9,41,103000.0,50000.0,6.0,31,2.0
117,TRAIN_0503,서울특별시 강남구 대치동,65,쌍용대치2,84.49,201402,06,90000.0,14,1983,train,2014-02-06,129.5,66.8,2.5,0.9,41,103000.0,50000.0,6.0,31,2.0
118,TRAIN_0270,서울특별시 강남구 대치동,974,대치현대,85.0,201402,06,84000.0,8,1999,train,2014-02-06,128.8,66.8,2.5,0.9,16,80000.0,60000.0,19.0,15,1.0
119,TRAIN_0245,서울특별시 강남구 대치동,63,"대치우성아파트1동,2동,3동,5동,6동,7동",84.69,201402,06,85000.0,2,1984,train,2014-02-06,129.5,66.8,2.5,0.9,11,85000.0,48000.0,7.0,30,2.0
120,TRAIN_0245,서울특별시 강남구 대치동,63,"대치우성아파트1동,2동,3동,5동,6동,7동",84.69,201402,06,85000.0,2,1984,train,2014-02-06,128.8,66.8,2.5,0.9,11,85000.0,48000.0,7.0,30,2.0
121,TRAIN_0662,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),35.51,201402,07,24000.0,14,2004,train,2014-02-07,129.5,66.8,2.5,0.9,49,29300.0,16115.000000000002,6.0,10,0.0
122,TRAIN_0555,서울특별시 강남구 대치동,316,은마,76.79,201402,07,82500.0,6,1979,train,2014-02-07,129.5,66.8,2.5,0.9,46,83000.0,40000.0,60.0,35,2.0
123,TRAIN_0555,서울특별시 강남구 대치동,316,은마,76.79,201402,07,82500.0,6,1979,train,2014-02-07,128.8,66.8,2.5,0.9,46,83000.0,40000.0,60.0,35,2.0
124,TRAIN_0662,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),35.51,201402,07,24000.0,14,2004,train,2014-02-07,128.8,66.8,2.5,0.9,49,29300.0,16115.000000000002,6.0,10,0.0
125,TRAIN_0556,서울특별시 강남구 대치동,316,은마,76.79,201402,08,85000.0,4,1979,train,2014-02-08,129.5,66.8,2.5,0.9,46,82500.0,31000.0,60.0,35,2.0
126,TRAIN_0556,서울특별시 강남구 대치동,316,은마,76.79,201402,08,85000.0,4,1979,train,2014-02-08,128.8,66.8,2.5,0.9,46,82500.0,31000.0,60.0,35,2.0
127,TRAIN_0504,서울특별시 강남구 대치동,65,쌍용대치2,84.49,201402,09,90000.0,10,1983,train,2014-02-09,128.8,66.8,2.5,0.9,41,90000.0,50000.0,6.0,31,2.0
128,TRAIN_0504,서울특별시 강남구 대치동,65,쌍용대치2,84.49,201402,09,90000.0,10,1983,train,2014-02-09,129.5,66.8,2.5,0.9,41,90000.0,50000.0,6.0,31,2.0
129,TRAIN_0003,서울특별시 강남구 대치동,503,개포우성1,127.61,201402,10,152000.0,9,1983,train,2014-02-10,128.8,66.8,2.5,0.9,0,150000.0,82000.0,18.0,31,3.0
130,TRAIN_0003,서울특별시 강남구 대치동,503,개포우성1,127.61,201402,10,152000.0,9,1983,train,2014-02-10,129.5,66.8,2.5,0.9,0,150000.0,82000.0,18.0,31,3.0
131,TRAIN_0004,서울특별시 강남구 대치동,503,개포우성1,84.81,201402,10,116000.0,3,1983,train,2014-02-10,128.8,66.8,2.5,0.9,0,90000.0,60000.0,18.0,31,3.0
132,TRAIN_0004,서울특별시 강남구 대치동,503,개포우성1,84.81,201402,10,116000.0,3,1983,train,2014-02-10,129.5,66.8,2.5,0.9,0,90000.0,60000.0,18.0,31,3.0
133,TRAIN_0686,서울특별시 강남구 대치동,910-3,풍림아이원1차101동(910-3),84.69,201402,10,59700.0,6,2003,train,2014-02-10,129.5,66.8,2.5,0.9,51,90000.0,49500.00000000001,2.0,11,1.0
